Company,Symbol,Date,Current_Price,Price_Change_30d,Volatility_30d,Avg_Volume_30d,Volume_Change_Ratio,High_52w,Low_52w,Current_vs_52w_High,Current_vs_52w_Low,Volatility_Score,Performance_Score,Financial_Risk_Score
TSMC,2330.TW,2025-08-26 00:00:00+08:00,1170.0,5.405405405405395,0.2813374726951053,30113090.4,0.22457203529000797,1200.0,776.7042321855096,97.5,150.63649089535988,1,1,1.0
Intel,INTC,2025-08-25 00:00:00-04:00,24.549999237060547,7.111689159427637,0.5785155829274673,122917543.33333333,1.272203265370609,27.549999237060547,17.670000076293945,89.11070750243663,138.936044884328,5,1,3.4
NVIDIA,NVDA,2025-08-25 00:00:00-04:00,179.80999755859375,5.33684872479161,0.26232418295600635,159587343.33333334,1.0183495545793386,184.47999572753906,86.61398571543218,97.46856121145922,207.59926479928362,1,2,1.4
AMD,AMD,2025-08-25 00:00:00-04:00,163.36000061035156,4.980399697707116,0.4861746848939779,64649720.0,0.5576899636997654,186.64999389648438,76.4800033569336,87.5221033765212,213.59831778242403,5,2,3.8
Qualcomm,QCOM,2025-08-25 00:00:00-04:00,156.4199981689453,1.3739436651056813,0.3136134115439757,7958836.666666667,0.5845326641121337,179.10495279460073,120.07868408697037,87.33426727083827,130.26458389205342,2,3,2.4000000000000004
Broadcom,AVGO,2025-08-25 00:00:00-04:00,294.2300109863281,4.730550448291426,0.2918333672771224,17267686.666666668,0.8752648974790291,317.3500061035156,133.37996843642273,92.71467002598827,220.5953520873538,2,3,2.4000000000000004
Texas Instruments,TXN,2025-08-25 00:00:00-04:00,205.97000122070312,-4.992339039773297,0.4644517397130087,7304233.333333333,0.4713157210202303,220.09915271864855,137.770344476428,93.58055161802162,149.50242158677614,4,4,4.0
ASML,ASML,2025-08-25 00:00:00-04:00,754.4600219726562,-8.097765081104114,0.36933375185238004,2155516.6666666665,0.33894425930364724,908.1833815772002,577.0462937353534,83.07353308562202,130.74514647496702,3,5,3.8
Applied Materials,AMAT,2025-08-25 00:00:00-04:00,161.99000549316406,-18.483472331182547,0.48139369374566426,7506633.333333333,0.5572005204285987,213.47877762974773,123.03651058866168,75.881081619324,131.66011025355922,4,5,4.4
Micron,MU,2025-08-25 00:00:00-04:00,116.41999816894531,-3.0721858485181164,0.4308676710536556,20201383.333333332,0.42855976034644494,129.72790124107314,61.482130717477204,89.74168012831892,189.35582877554893,3,4,3.4
